,GradientBoosting_LogLoss,GradientBoosting_ROCAUC,LogReg_LogLoss,LogReg_ROCAUC,RandomForest_LogLoss,RandomForest_ROCAUC,XGB_LogLoss,XGB_ROCAUC
0,-0.20112280451440168,0.9839816933638443,-0.17612267520452105,0.9874141876430206,-1.2553202143457383,0.9347826086956522,-0.20719543981201732,0.9782608695652174
1,-0.3027170326557776,0.9366028708133972,-0.23513967465323835,0.9617224880382775,-0.7720033831085726,0.9395933014354066,-0.256745581633489,0.9509569377990431
2,-0.2524909204101116,0.9724880382775118,-0.1795324069491616,0.9760765550239234,-0.7959095929718184,0.9383971291866029,-0.231318794550801,0.9688995215311006
3,-0.1663939121879315,0.9868421052631579,-0.19477537995913055,0.9748803827751196,-0.15486775985777163,0.9916267942583732,-0.1945645793447814,0.9760765550239234
4,-0.16419172508392185,0.9864864864864865,-0.1352135953080892,0.9852579852579852,-1.2603424242347603,0.941031941031941,-0.14479019868254694,0.9877149877149878
5,-0.25929237367021835,0.957002457002457,-0.13029027497591988,0.9877149877149878,-0.1917633367090329,0.9717444717444718,-0.1788360213395208,0.9791154791154791
6,-0.2573410495402623,0.9643734643734644,-0.15791468109672407,0.9828009828009827,-0.20449272701002202,0.9723587223587223,-0.19990108008654314,0.9791154791154791
7,-0.07970781133595335,0.9926289926289926,-0.11920437036273893,0.9963144963144963,-0.12257503120812169,0.9938574938574938,-0.08434829397632157,0.9926289926289926
8,-0.17579096049366688,0.9791154791154791,-0.23874074433397127,0.9754299754299754,-0.16848943996959642,0.9926289926289926,-0.20546477053203951,0.9766584766584767
9,-0.2394326084244377,0.9742014742014742,-0.1926027240846153,0.9815724815724816,-0.23354617193632216,0.961916461916462,-0.26837362785294844,0.9643734643734645
